feature_id,feature_name,decision,confidence,reasoning_summary,regulations,control_type,evidence_feature_spans,evidence_reg_snippets
SAMPLE-011,Story resharing with content expiry,REVIEW,0.5,Insufficient evidence.,,,"Enable users to reshare stories from others, with auto-expiry after 48 hours. This feature logs resharing attempts with EchoTrace (Log tracing mode for compliance verification) and stores activity under BB (Baseline behavior used for anomaly detection). ",
SAMPLE-012,Leaderboard system for weekly creators,NO,0.95,Business geofence detected (see phrasebook cues).,,,Introduce a creator leaderboard updated weekly using internal analytics. Points and rankings are stored in FR (Feature rollout status) metadata and tracked using IMT (Internal monitoring trigger).,
SAMPLE-013,Mood-based PF enhancements,REVIEW,0.5,Insufficient evidence.,,,Adjust PF (Personalized feed) recommendations based on inferred mood signals from emoji usage. This logic is soft-tuned using BB (Baseline behavior used for anomaly detection) and undergoes quiet testing in ShadowMode (Deploy feature in non-user-impact way to collect analytics only).,
SAMPLE-014,New user rewards via NR profile suggestions,REVIEW,0.5,Insufficient evidence.,,,"At onboarding, users will receive NR (Not recommended (content/user status))-curated profiles to follow for faster network building. A/B testing will use Spanner (Synthetic name for a rule engine).",
SAMPLE-015,Creator fund payout tracking in CDS,YES,0.85,Legal compliance detected (see phrasebook cues).,,,Monetization events will be tracked through CDS (Compliance Detection System) to detect anomalies in creator payouts. DRT (Data retention threshold; duration for which logs can be stored) rules apply for log trimming.,"""Social media platforms must disable personalized feeds for users under 18 by default."" | ""Providers must implement mechanisms to restrict access to content in compliance with EU law."""
SAMPLE-016,Trial run of video replies in EU,REVIEW,0.5,Insufficient evidence.,,,"Roll out video reply functionality to users in EEA only. GH (Geo-handler; module for routing features by user region) will manage exposure control, and BB (Baseline behavior used for anomaly detection) is used to baseline feedback.",
SAMPLE-017,Canada-first PF variant test,REVIEW,0.5,Insufficient evidence.,,,Launch a PF (Personalized feed) variant in CA as part of early experimentation. Spanner (Synthetic name for a rule engine) will isolate affected cohorts and Glow (Compliance flagging status used for geo-based alerts) flags will monitor feature health.,
SAMPLE-018,Chat UI overhaul,REVIEW,0.5,Insufficient evidence.,,,"A new chat layout will be tested in the following regions: CA, US, BR, ID. GH (Geo-handler; module for routing features by user region) will ensure location targeting and ShadowMode (Deploy feature in non-user-impact way to collect analytics only) will collect usage metrics without user impact.",
SAMPLE-019,Regional trial of autoplay behavior,REVIEW,0.5,Insufficient evidence.,,,"Enable video autoplay only for users in US. GH (Geo-handler; module for routing features by user region) filters users, while Spanner (Synthetic name for a rule engine) logs click-through deltas.",
SAMPLE-020,South Korea dark theme A/B experiment,NO,0.95,Business geofence detected (see phrasebook cues).,,,A/B test dark theme accessibility for users in South Korea. Rollout is limited via GH (Geo-handler; module for routing features by user region) and monitored with FR (Feature rollout status) flags.,
SAMPLE-021,Age-specific notification controls with ASL,YES,0.85,Legal compliance detected (see phrasebook cues).,,age_gating,"Notifications will be tailored by age using ASL (Age-sensitive logic), allowing us to throttle or suppress push alerts for minors. EchoTrace (Log tracing mode for compliance verification) will log adjustments, and CDS (Compliance Detection System) will verify enforcement across rollout waves.","""Social media platforms must disable personalized feeds for users under 18 by default."" | ""Providers must implement mechanisms to restrict access to content in compliance with EU law."""
SAMPLE-022,Chat content restrictions via LCP,YES,0.85,Legal compliance detected (see phrasebook cues).,,,"Enforce message content constraints by injecting LCP (Local compliance policy) rules on delivery. ShadowMode (Deploy feature in non-user-impact way to collect analytics only) will initially deploy the logic for safe validation. No explicit mention of legal requirements, but privacy context is implied.","""Social media platforms must disable personalized feeds for users under 18 by default."" | ""Providers must implement mechanisms to restrict access to content in compliance with EU law."""
SAMPLE-023,Video upload limits for new users,REVIEW,0.5,Insufficient evidence.,,,Introduce limits on video uploads from new accounts. IMT (Internal monitoring trigger) will trigger thresholds based on BB (Baseline behavior used for anomaly detection) patterns. These limitations are partly for platform safety but without direct legal mapping.,
SAMPLE-024,Flag escalation flow for sensitive comments,REVIEW,0.5,Insufficient evidence.,,,"A flow that detects high-risk comment content and routes it via CDS (Compliance Detection System) with Redline (Flag for legal review) markers. The logic applies generally and is monitored through EchoTrace (Log tracing mode for compliance verification), with no mention of regional policies.",
SAMPLE-025,User behavior scoring for policy gating,REVIEW,0.5,Insufficient evidence.,,,Behavioral scoring via Spanner (Synthetic name for a rule engine) will be used to gate access to certain tools. The feature tracks usage and adjusts gating based on BB (Baseline behavior used for anomaly detection) divergence. ,
SAMPLE-026,Minor-safe chat expansion via Jellybean,YES,0.85,Legal compliance detected (see phrasebook cues).,,age_gating,"We’re expanding chat features, but for users flagged by Jellybean (Internal parental control system), certain functions (e.g., media sharing) will be limited. BB (Baseline behavior used for anomaly detection) and ASL (Age-sensitive logic) will monitor compliance posture.","""Social media platforms must disable personalized feeds for users under 18 by default."" | ""Providers must implement mechanisms to restrict access to content in compliance with EU law."""
SAMPLE-027,Friend suggestions with underage safeguards,YES,0.85,Legal compliance detected (see phrasebook cues).,,age_gating,"New suggestion logic uses PF (Personalized feed) to recommend friends, but minors are excluded from adult pools using ASL (Age-sensitive logic) and CDS (Compliance Detection System) logic. EchoTrace (Log tracing mode for compliance verification) logs interactions in case future policy gates are needed.","""Social media platforms must disable personalized feeds for users under 18 by default."" | ""Providers must implement mechanisms to restrict access to content in compliance with EU law."""
SAMPLE-028,Reaction GIFs with embedded filtering,YES,0.85,Legal compliance detected (see phrasebook cues).,,age_gating,"Enable GIFs in comments, while filtering content deemed inappropriate for minor accounts. Softblock (User-level limitation applied silently without notifications) will apply if a flagged GIF is used by ASL (Age-sensitive logic)-flagged profiles.","""Social media platforms must disable personalized feeds for users under 18 by default."" | ""Providers must implement mechanisms to restrict access to content in compliance with EU law."""
SAMPLE-029,Longform posts with age-based moderation,YES,0.85,Legal compliance detected (see phrasebook cues).,,,"Longform post creation is now open to all. However, moderation for underage authors is stricter via Snowcap (Child-safety policy framework). ","""Social media platforms must disable personalized feeds for users under 18 by default."" | ""Providers must implement mechanisms to restrict access to content in compliance with EU law."""
SAMPLE-030,Custom avatar system with identity checks,YES,0.85,Legal compliance detected (see phrasebook cues).,,age_gating,"Users can now design custom avatars. For safety, T5 (Tier 5 sensitivity data; highly sensitive per internal taxonomy) triggers block adult-themed assets from use by underage profiles. Age detection uses ASL (Age-sensitive logic) and logs flow through GH (Geo-handler; module for routing features by user region).","""Social media platforms must disable personalized feeds for users under 18 by default."" | ""Providers must implement mechanisms to restrict access to content in compliance with EU law."""
